tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
577629,409886,06/07/2016,9,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,247 SWINNERTON STREET,10307,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5024402,New York,40.50258191,-74.24554013,915964.9115,122476.5304,51,24402,5150677,5079090071
100037,337649,07/28/2015,19,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,73-70 260 STREET,11004,Glen Oaks,413,4,Queens,23,24,11,QN44,Glen Oaks-Floral Park-New Hyde Park,4155102,New York,40.74945307,-73.71637828,1062834.391,212449.8409,23,155102,4461020,4084410001
185550,505784,08/29/2015,4,0,OnCurb,Alive,Fair,Tilia tomentosa,silver linden,None,None,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,2535 HUGHES AVENUE,10458,Bronx,206,2,Bronx,15,78,34,BX06,Belmont,2039700,New York,40.85896191,-73.8837531,1016406.171,252241.8906,15,397,2016288,2032730332
249857,334509,09/23/2015,4,0,OnCurb,Alive,Good,Cercis canadensis,eastern redbud,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,89-050 212 STREET,11427,Queens Village,413,4,Queens,23,33,14,QN34,Queens Village,4054800,New York,40.72244934,-73.75141784,1053153.765,202582.0798,23,548,4225709,4105780020
26996,349310,06/20/2015,18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,98-001 62 DRIVE,11374,Rego Park,406,4,Queens,29,35,16,QN18,Rego Park,4071701,New York,40.73306848,-73.85935365,1023229.175,206384.4895,29,71702,4431964,4020930245
227029,227853,09/15/2015,20,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,812 AVENUE I,11230,Brooklyn,312,3,Brooklyn,44,48,17,BK43,Midwood,3045800,New York,40.62681328,-73.96806724,993114.0633,167642.9732,44,458,3170912,3065210004
196696,103290,09/02/2015,18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,54 PIKE STREET,10002,New York,103,1,Manhattan,1,65,26,MN27,Chinatown,1000800,New York,40.71220452,-73.9924204,986351.292,198751.9041,1,8,1003269,1002740014
32824,507194,06/24/2015,7,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,4499 WALDO AVENUE,10471,Bronx,208,2,Bronx,11,81,34,BX22,North Riverdale-Fieldston-Riverdale,2035100,New York,40.89045562,-73.90256604,1011189.383,263709.9411,11,335,2000000,2058041150
149068,107194,08/15/2015,10,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,Unsure,Damage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,430 EAST 65 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011600,New York,40.76251681,-73.9573674,996060.1161,217085.0419,5,116,1078404,1014590022
666339,222269,08/16/2016,0,14,OnCurb,Stump,NA,NA,NA,NA,NA,NA,NYC Parks Staff,NA,No,No,No,No,No,No,No,No,No,135 BLEECKER STREET,11221,Brooklyn,304,3,Brooklyn,37,53,18,BK78,Bushwick South,3041900,New York,40.69596511,-73.92045967,1006306.341,192845.3237,37,419,3075410,3032970051
236338,106147,09/18/2015,5,0,OnCurb,Alive,Good,Tilia americana,American linden,4orMore,Helpful,NoDamage,NYC Parks Staff,"TrunkOther,BranchOther",No,No,No,No,No,Yes,No,No,Yes,1 WEST 64 STREET,10023,New York,107,1,Manhattan,6,75,27,MN14,Lincoln Square,1014900,New York,40.77125792,-73.97978579,989849.0226,220267.489,6,149,1028137,1011170029
544589,600116,01/19/2016,6,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,157 FOUR CORNERS ROAD,10304,Staten Island,502,5,Staten Island,50,62,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5017700,New York,40.59046017,-74.10661438,954639.3125,154414.9954,50,177,5135108,5008710118
698212,326950,09/05/2016,16,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,146-014 107 AVENUE,11435,Jamaica,412,4,Queens,28,32,14,QN01,South Jamaica,4019800,New York,40.69297154,-73.80261299,1038987.358,191806.334,28,198,4215498,4100860011
9805,508697,06/04/2015,3,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1887 MC GRAW AVENUE,10462,Bronx,209,2,Bronx,18,87,33,BX46,Parkchester,2021602,New York,40.83435403,-73.86265527,1022256.295,243284.7687,18,21602,2029059,2039360042
611350,305607,07/01/2016,15,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,78-028 160 STREET,11366,Fresh Meadows,408,4,Queens,24,25,14,QN37,Kew Gardens Hills,4125700,New York,40.72164949,-73.80781419,1037522.093,202251.3403,24,1257,4147937,4068300022
181664,345425,08/28/2015,4,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,2046 GATES AVENUE,11385,Ridgewood,405,4,Queens,30,37,12,QN20,Ridgewood,4058900,New York,40.70702155,-73.9044875,1010730.991,196877.935,30,589,4083436,4034860020
48342,105272,07/03/2015,11,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,346 EAST 16 STREET,10003,New York,106,1,Manhattan,2,74,27,MN21,Gramercy,1004800,New York,40.7327132,-73.9818566,989278.3482,206224.2766,2,48,1082157,1009220027
345783,212160,10/19/2015,26,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,68 BARLOW DRIVE NORTH,11234,Brooklyn,318,3,Brooklyn,46,59,19,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3070201,New York,40.60966348,-73.90479839,1010683.346,161407.5998,46,70201,3243317,3086240009
35005,207985,06/25/2015,8,0,OffsetFromCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,200 CORBIN PLACE,11235,Brooklyn,315,3,Brooklyn,48,45,23,BK19,Brighton Beach,3061002,New York,40.57697268,-73.9537144,997107.7925,149486.5423,48,61002,3245729,3087237501
84575,219733,07/21/2015,22,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,139 HENRY STREET,11201,Brooklyn,302,3,Brooklyn,33,52,26,BK09,Brooklyn Heights-Cobble Hill,3000502,New York,40.69648965,-73.99342584,986072.9845,193026.4824,33,502,3001887,3002370026
